iter	Passed	Remaining
0	70	70079
1	119	59451
2	209	69495
3	255	63528
4	299	59527
5	392	64987
6	485	68915
7	549	68094
8	641	70669
9	716	70887
10	779	70085
11	869	71581
12	956	72649
13	1037	73092
14	1076	70691
15	1157	71177
16	1248	72203
17	1340	73149
18	1429	73787
19	1518	74409
20	1611	75107
21	1706	75874
22	1800	76493
23	1889	76847
24	1987	77495
25	2076	77805
26	2167	78119
27	2259	78437
28	2349	78667
29	2441	78948
30	2535	79253
31	2623	79363
32	2712	79475
33	2804	79674
34	2896	79867
35	2986	79983
36	3081	80205
37	3174	80360
38	3264	80441
39	3354	80505
40	3446	80608
41	3541	80788
42	3639	81000
43	3730	81050
44	3822	81116
45	3947	81861
46	4035	81821
47	4120	81724
48	4204	81607
49	4291	81541
50	4393	81744
51	4480	81681
52	4566	81586
53	4650	81473
54	4742	81492
55	4827	81372
56	4912	81273
57	4995	81129
58	5082	81057
59	5184	81229
60	5269	81117
61	5357	81057
62	5446	81002
63	5559	81300
64	5648	81256
65	5727	81052
66	5814	80964
67	5912	81033
68	6003	81002
69	6095	80985
70	6181	80886
71	6275	80890
72	6369	80886
73	6467	80936
74	6558	80892
75	6645	80795
76	6731	80685
77	6825	80680
78	6920	80677
79	7008	80594
80	7101	80568
81	7192	80523
82	7285	80487
83	7377	80448
84	7494	80672
85	7581	80572
86	7674	80543
87	7773	80560
88	7860	80456
89	7955	80434
90	8042	80333
91	8128	80220
92	8219	80164
93	8315	80144
94	8339	79445
95	8437	79457
96	8463	78785
97	8548	78679
98	8644	78672
99	8739	78653
100	8833	78622
101	8920	78535
102	9012	78483
103	9105	78446
104	9201	78431
105	9295	78395
106	9391	78377
107	9481	78311
108	9575	78269
109	9666	78213
110	9756	78140
111	9845	78058
112	9869	77467
113	9953	77359
114	10043	77293
115	10136	77250
116	10223	77157
117	10322	77156
118	10358	76690
119	10456	76682
120	10483	76158
121	10576	76115
122	10665	76044
123	10761	76021
124	10849	75944
125	10942	75905
126	11028	75811
127	11119	75750
128	11208	75677
129	11303	75645
130	11393	75581
131	11427	75144
132	11511	75040
133	11599	74961
134	11688	74893
135	11780	74839
136	11870	74774
137	11962	74724
138	12052	74654
139	12147	74621
140	12202	74340
141	12290	74264
142	12386	74229
143	12482	74204
144	12578	74170
145	12676	74151
146	12770	74102
147	12859	74026
148	12942	73920
149	13029	73833
150	13121	73775
151	13215	73726
152	13312	73697
153	13403	73633
154	13505	73626
155	13595	73557
156	13690	73508
157	13789	73484
158	13885	73442
159	13979	73393
160	14072	73336
161	14107	72973
162	14198	72907
163	14297	72882
164	14390	72825
165	14486	72779
166	14578	72716
167	14671	72656
168	14703	72298
169	14797	72247
170	14897	72222
171	14993	72178
172	15086	72119
173	15175	72041
174	15281	72040
175	15373	71976
176	15470	71931
177	15566	71884
178	15660	71828
179	15750	71753
180	15849	71717
181	15935	71624
182	16023	71535
183	16122	71498
184	16145	71127
185	16238	71063
186	16331	71004
187	16420	70923
188	16514	70862
189	16609	70810
190	16708	70770
191	16785	70638
192	16880	70581
193	16971	70509
194	17064	70446
195	17088	70096
