Posting data;Sorting material description;Qyantity;Component quantity;m2;Fault;Fault text;Reason;Reason text;Comment
02.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;4;4;9;F012;Breaking loads / flexural strength;170;Other reasons (with comment!);broken boards. loading
02.1.2024 ?.;REG 12.5 1200 2600 HRTE (60) S+B;3;3;9;F012;Breaking loads / flexural strength;170;Other reasons (with comment!);broken boards. loading
02.1.2024 ?.;REG 12.5 1200 2600 TE (60);43;43;134.2;F002;Poor edges;10;Run up / shut down (prod start / end);
02.1.2024 ?.;REG 12.5 1200 2600 TE (60);2;2;6;F012;Breaking loads / flexural strength;170;Other reasons (with comment!);broken boards. loading
02.1.2024 ?.;REG 12.5 1200 2600 TE (60) EWP Foil NG;5;5;15;F006;Wet board;40;Product change (flying changeover);
02.1.2024 ?.;FR 12.5 1200 2600 TE (60) 1WP foil NG;18;18;56.2;F012;Breaking loads / flexural strength;170;Other reasons (with comment!);broken boards. loading
02.1.2024 ?.;REG 12.5 1200 2000 TE (60) EWP Foil NG;10;10;24;F004;Paper bonding;40;Product change (flying changeover);
02.1.2024 ?.;FR 15 1200 2000 HRTE (40);1;1;2;F012;Breaking loads / flexural strength;170;Other reasons (with comment!);broken boards. loading
04.1.2024 ?.;FR 15 1200 2600 TE (40);80;80;249.6;F004;Paper bonding;10;Run up / shut down (prod start / end);
04.1.2024 ?.;FR 15 1200 2600 TE (40);50;50;156;F002;Poor edges;10;Run up / shut down (prod start / end);
04.1.2024 ?.;FR 15 1200 2600 TE (40);25;25;78;F006;Wet board;10;Run up / shut down (prod start / end);
05.1.2024 ?.;FR 15 1200 2600 TE (40);8;8;25;F002;Poor edges;50;Paper change;
05.1.2024 ?.;FR 12.5 1200 2600 TE (60);10;10;31.2;F002;Poor edges;50;Paper change;
05.1.2024 ?.;FR 12.5 1200 2600 TE (60) 1WP foil NG;157;157;489.8;F002;Poor edges;10;Run up / shut down (prod start / end);
05.1.2024 ?.;FR 12.5 1200 2600 TE (60) 1WP foil NG;6;6;18;F003;Hollow edges;40;Product change (flying changeover);
05.1.2024 ?.;FR 12.5 1200 2600 TE (60) 1WP foil NG;4;4;12;F005;Rippling;50;Paper change;
05.1.2024 ?.;FR 12.5 1200 2600 TE (60) 1WP foil NG;3;3;9;F003;Hollow edges;50;Paper change;
05.1.2024 ?.;FR 15 1200 2000 HRTE (40);24;24;57.6;F002;Poor edges;50;Paper change;
05.1.2024 ?.;FR 15 1200 2000 HRTE (40);28;28;67.2;F005;Rippling;50;Paper change;
05.1.2024 ?.;FR 15 1200 2000 HRTE (40);60;60;144;F004;Paper bonding;40;Product change (flying changeover);
05.1.2024 ?.;FR 15 1200 2000 HRTE (40);60;60;144;F002;Poor edges;40;Product change (flying changeover);
05.1.2024 ?.;FR 15 1200 2000 HRTE (40);20;20;48;F005;Rippling;50;Paper change;
05.1.2024 ?.;FR 15 1200 2600 TE (40) OWP w. foil NG;74;74;230.9;F002;Poor edges;10;Run up / shut down (prod start / end);
05.1.2024 ?.;FR 15 1200 2600 TE (40) OWP w. foil NG;14;14;43.7;F002;Poor edges;50;Paper change;
06.1.2024 ?.;FR 12.5 1200 2000 HRTE (60) PLS;133;133;319.2;F002;Poor edges;10;Run up / shut down (prod start / end);
06.1.2024 ?.;FR 12.5 1200 2000 HRTE (60) PLS;310;310;744;F002;Poor edges;40;Product change (flying changeover);
06.1.2024 ?.;FR 12.5 1200 2600 TE (60);62;62;193.4;F002;Poor edges;40;Product change (flying changeover);
06.1.2024 ?.;FR 12.5 1200 2600 TE (60);6;6;18;F003;Hollow edges;40;Product change (flying changeover);
06.1.2024 ?.;REG 12.5 1200 2600 TE (60) EWP Foil NG;30;30;93.6;F004;Paper bonding;10;Run up / shut down (prod start / end);
06.1.2024 ?.;REG 12.5 1200 2600 TE (60) EWP Foil NG;81;81;252.7;F002;Poor edges;10;Run up / shut down (prod start / end);
06.1.2024 ?.;FR 12.5 1200 2600 TE (60) 1WP foil NG;2;2;6;F016;Other reasons (with comment!);160;Other mechanical problems;broken boards. bundler.
06.1.2024 ?.;FR 15 1200 2000 HRTE (40);120;120;288;F004;Paper bonding;40;Product change (flying changeover);
06.1.2024 ?.;FR 15 1200 2000 HRTE (40);103;103;247.2;F002;Poor edges;40;Product change (flying changeover);
06.1.2024 ?.;Sonicboard REG 12.5 1200 2000 TE (60);150;150;360;F002;Poor edges;10;Run up / shut down (prod start / end);
06.1.2024 ?.;Sonicboard REG 12.5 1200 2000 TE (60);2;2;4;F016;Other reasons (with comment!);160;Other mechanical problems;broken boards. bundler.
07.1.2024 ?.;MR 12.5 1200 2600 TE (60) EWP Foil NG;1;1;3;F005;Rippling;50;Paper change;
07.1.2024 ?.;MR 12.5 1200 2600 TE (60) EWP Foil NG;64;64;199.7;F002;Poor edges;10;Run up / shut down (prod start / end);
07.1.2024 ?.;FR 15 1200 2000 HRTE (40);40;40;96;F004;Paper bonding;10;Run up / shut down (prod start / end);
07.1.2024 ?.;FR 15 1200 2000 HRTE (40);61;61;146.4;F002;Poor edges;10;Run up / shut down (prod start / end);
07.1.2024 ?.;FR 15 1200 2000 HRTE (40);50;50;120;F002;Poor edges;10;Run up / shut down (prod start / end);
07.1.2024 ?.;MR 12.5 1200 2600 TE (60);66;66;205.9;F002;Poor edges;10;Run up / shut down (prod start / end);
07.1.2024 ?.;REG PLUS 12.5 1200 2600 TE (60) NG;2;2;6;F016;Other reasons (with comment!);160;Other mechanical problems;broken boards. bundler.
08.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;44;44;105.6;F002;Poor edges;40;Product change (flying changeover);
08.1.2024 ?.;REG 12.5 1200 2700 HRTE (60) S+B;5;5;16;F002;Poor edges;50;Paper change;
08.1.2024 ?.;REG 12.5 1200 2000 TE (60) GS Foil NG;244;244;585.6;F002;Poor edges;40;Product change (flying changeover);
08.1.2024 ?.;MR 12.5 1200 2600 TE (60);90;90;280.8;F002;Poor edges;40;Product change (flying changeover);
08.1.2024 ?.;MR 12.5 1200 2600 TE (60);20;20;62.4;F008;Board geometry;140;Bundler / saw cut;
08.1.2024 ?.;MR 12.5 1200 2600 TE (60);10;10;31.2;F016;Other reasons (with comment!);160;Other mechanical problems;broken boards. bundler.
08.1.2024 ?.;MR 12.5 1200 2600 TE (60);5;5;15;F005;Rippling;50;Paper change;
09.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;26;26;62.4;F002;Poor edges;50;Paper change;
09.1.2024 ?.;REG 12.5 1200 2000 HRTE (60) S+B;3;3;7;F002;Poor edges;50;Paper change;
09.1.2024 ?.;REG 12.5 1200 2600 HRTE (60) S+B;9;9;28;F005;Rippling;50;Paper change;
09.1.2024 ?.;REG 12.5 1200 2600 TE (60);5;5;15;F002;Poor edges;50;Paper change;
09.1.2024 ?.;REG 12.5 1200 2600 TE (60);20;20;62.4;F002;Poor edges;50;Paper change;
09.1.2024 ?.;REG 12.5 1200 2600 TE (60) EWP Foil NG;9;9;28;F002;Poor edges;50;Paper change;
09.1.2024 ?.;FR 15 1200 2000 HRTE (40);640;640;1;F016;Other reasons (with comment!);170;Other reasons (with comment!);Wider plates - 5mm
